3/23/2004,11:31 AM
,,,2342323232323332322245324532453
TIME,J-TYPE TC #0
0.000000,26.067266
0.001000,26.067266
0.002000,26.037790
0.003000,26.037790
0.004000,26.023052
0.005000,26.052530
0.006000,26.037790
0.007000,26.052530
0.008000,26.052530
0.009000,26.037790
0.010000,26.067266
0.011000,26.052530
0.012000,26.037790
0.013000,26.037790
0.014000,26.082005
0.015000,26.052530
0.016000,26.037790
0.017000,26.037790
0.018000,26.037790
0.019000,26.067266
0.020000,26.037790
0.021000,26.067266
0.022000,26.052530
0.023000,26.023052
0.024000,26.051323
0.025000,26.036583
0.026000,26.021845
0.027000,26.051323
0.028000,26.021845
0.029000,26.036583
0.030000,26.036583
0.031000,26.021845
0.032000,26.051323
0.033000,26.021845
0.034000,26.036583
0.035000,26.036583
0.036000,26.051323
0.037000,26.036583
0.038000,26.051323
0.039000,26.021639
0.040000,26.006899
0.041000,26.051115
0.042000,26.036377
0.043000,26.021639
0.044000,26.051115
0.045000,26.021639
0.046000,26.065853
0.047000,26.051115
0.048000,26.051115
0.049000,26.036377
0.050000,26.036377
0.051000,26.036377
0.052000,26.036610
0.053000,26.021872
0.054000,26.036610
0.055000,26.021872
0.056000,26.051350
0.057000,26.051350
0.058000,26.036610
0.059000,26.051350
0.060000,26.066086
0.061000,26.036610
0.062000,26.021872
0.063000,26.036610
0.064000,26.036610
0.065000,26.036610
0.066000,26.007133
0.067000,26.036610
0.068000,26.036610
0.069000,26.021872
0.070000,26.021872
0.071000,26.066086
0.072000,26.036610
0.073000,26.036610
0.074000,26.036610
0.075000,26.036610
0.076000,26.036610
0.077000,26.066086
0.078000,26.051350
0.079000,26.066086
0.080000,26.036610
0.081000,26.007133
0.082000,26.066086
0.083000,26.021872
0.084000,26.051350
0.085000,26.036610
0.086000,26.021872
0.087000,26.036610
0.088000,26.007133
0.089000,26.021872
0.090000,26.051350
0.091000,26.036610
0.092000,26.021872
0.093000,26.036610
0.094000,26.066086
0.095000,26.036610
0.096000,26.021872
0.097000,26.036610
0.098000,26.021872
0.099000,26.036610
0.100000,26.051350
0.101000,26.066086
0.102000,26.051350
0.103000,26.021872
0.104000,26.021872
0.105000,26.036610
0.106000,26.021872
0.107000,26.036610
0.108000,26.036610
0.109000,26.021872
0.110000,26.051350
0.111000,26.066086
0.112000,26.036610
0.113000,26.007133
0.114000,26.007133
0.115000,26.051350
0.116000,26.036610
0.117000,26.051350
0.118000,26.021872
0.119000,26.036610
0.120000,26.036610
0.121000,26.021872
0.122000,26.036610
0.123000,26.021872
0.124000,26.036610
0.125000,26.036610
0.126000,26.021872
0.127000,26.036610
0.128000,26.036610
0.129000,26.021872
0.130000,26.051350
0.131000,26.036610
0.132000,26.036610
0.133000,26.036610
0.134000,26.036610
0.135000,26.021872
0.136000,26.021872
0.137000,26.021872
0.138000,26.036610
0.139000,26.036610
0.140000,26.036610
0.141000,26.080828
0.142000,26.036610
0.143000,26.066086
0.144000,26.036610
0.145000,26.051350
0.146000,25.992393
0.147000,26.066086
0.148000,26.036772
0.149000,26.051512
0.150000,26.036772
0.151000,26.051512
0.152000,26.022036
0.153000,26.036772
0.154000,26.022036
0.155000,26.036772
0.156000,26.022036
0.157000,26.051512
0.158000,26.036772
0.159000,26.051512
0.160000,26.066248
0.161000,26.036772
0.162000,26.022036
0.163000,26.037031
0.164000,26.007555
0.165000,26.022295
0.166000,26.022295
